"gift_id","name","price","gift_category_id"
"1","Christmas Wrapping Paper Set","29.39","7"
"2","Holiday Gift Basket (wine, cheese, chocolates)","13.36","5"
"3","Personalized Family Christmas Plaque","29.27","6"
"4","Plush Santa or Elf Doll","139.06","2"
"5","Holiday Scent Diffuser","107.23","2"
"6","Christmas-Themed Socks","16.34","2"
"7","Festive Scented Candles (e.g., cinnamon, pine, gingerbread)","71.03","4"
"8","Santa Hat with Built-in Lights","106.18","2"
"9","Christmas-Themed Socks","97.92","7"
"10","Reindeer Slippers","37.22","7"